Date,Heure,HDG,Voile
2025-01-25,10:23,350,Code 0
2025-01-25,12:23,354,Code 0
2025-01-25,14:23,355,Spi leger
2025-01-25,16:23,359,Spi leger
2025-01-25,18:23,0,Spi leger
2025-01-25,20:23,8,Spi leger
2025-01-25,22:23,1,Spi leger
2025-01-26,00:23,357,Spi leger
2025-01-26,02:23,9,Spi leger
2025-01-26,04:23,14,Spi leger
2025-01-26,06:23,22,Spi leger
2025-01-26,08:23,26,Spi leger
2025-01-26,10:23,46,Spi leger
2025-01-26,12:23,39,Spi leger
2025-01-26,14:23,323,Spi leger
2025-01-26,16:23,59,Spi leger
2025-01-26,18:23,55,Spi leger
2025-01-26,20:23,339,Spi leger
2025-01-26,22:23,332,Spi leger
2025-01-27,00:23,340,Spi leger
2025-01-27,02:23,356,Spi leger
2025-01-27,04:23,1,Spi leger
2025-01-27,06:23,357,Spi leger
2025-01-27,08:23,5,Spi leger
2025-01-27,10:23,2,Spi leger
2025-01-27,12:23,6,Spi leger
2025-01-27,14:23,7,Spi leger
2025-01-27,16:23,11,Spi
2025-01-27,18:23,16,Spi
2025-01-27,20:23,9,Code 0
2025-01-27,22:23,14,Code 0
2025-01-28,00:23,22,Code 0
2025-01-28,02:23,35,Code 0
2025-01-28,04:23,44,Code 0
2025-01-28,06:23,57,Jib
2025-01-28,08:23,73,Code 0
2025-01-28,10:23,53,Code 0
2025-01-28,12:23,62,Code 0
2025-01-28,14:23,54,Code 0
2025-01-28,16:23,47,Code 0
2025-01-28,18:23,44,Code 0
2025-01-28,20:23,65,Code 0
2025-01-28,22:23,49,Code 0
2025-01-29,00:23,66,Code 0
2025-01-29,02:23,67,Code 0
2025-01-29,04:23,67,Jib
2025-01-29,06:23,68,Code 0
2025-01-29,08:23,69,Code 0
2025-01-29,10:23,65,Code 0
2025-01-29,12:23,66,Code 0
2025-01-29,14:23,67,Code 0
2025-01-29,16:23,63,Code 0
2025-01-29,18:23,52,Code 0
2025-01-29,20:23,53,Code 0
2025-01-29,22:23,50,Spi leger
2025-01-30,00:23,39,Spi leger
2025-01-30,02:23,92,Spi leger
2025-01-30,04:23,84,Spi leger
2025-01-30,06:23,84,Code 0
2025-01-30,08:23,85,Code 0
2025-01-30,10:23,81,Code 0
2025-01-30,12:23,77,Code 0
2025-01-30,14:23,70,Code 0
2025-01-30,16:23,79,Jib
2025-01-30,18:23,80,Jib
2025-01-30,20:23,81,Jib
2025-01-30,22:23,78,Jib
2025-01-31,00:23,79,Jib
2025-01-31,02:23,76,Jib
2025-01-31,04:23,77,Jib
2025-01-31,06:23,78,Jib
2025-01-31,08:23,72,Jib
2025-01-31,10:23,71,Jib
2025-01-31,12:23,74,Jib
2025-01-31,14:23,73,Jib
2025-01-31,16:23,85,Code 0
2025-01-31,18:23,109,Jib
2025-01-31,20:23,105,Code 0
2025-01-31,22:23,105,Code 0
2025-02-01,00:23,102,Code 0
2025-02-01,02:23,105,Code 0
2025-02-01,02:33,101,Code 0
2025-02-01,02:43,106,Code 0
2025-02-01,02:53,110,Code 0
2025-02-01,03:03,110,Code 0
2025-02-01,03:13,110,Code 0
2025-02-01,03:23,114,Code 0
2025-02-01,03:33,106,Code 0
2025-02-01,03:43,115,Code 0
2025-02-01,03:53,110,Code 0
2025-02-01,04:03,114,Code 0
2025-02-01,04:13,110,Code 0
2025-02-01,04:23,110,Code 0
2025-02-01,04:33,106,Code 0
2025-02-01,04:43,111,Code 0
2025-02-01,04:53,111,Code 0
2025-02-01,05:03,107,Code 0
2025-02-01,05:13,112,Code 0
2025-02-01,05:23,112,Code 0
2025-02-01,05:33,112,Code 0
2025-02-01,05:43,112,Code 0
2025-02-01,05:53,111,Code 0
2025-02-01,06:03,116,Code 0
2025-02-01,06:13,118,Code 0
2025-02-01,06:14,,
